# Dend2 Dend3   Potential
1.000000000000000000e+01 1.100000000000000000e+01 2.602456929476275604e+01
1.000000000000000000e+01 1.200000000000000000e+01 2.685575912484111072e+01
1.000000000000000000e+01 1.300000000000000000e+01 2.746774632842914698e+01
1.000000000000000000e+01 1.400000000000000000e+01 2.794374831256029168e+01
1.000000000000000000e+01 1.500000000000000000e+01 2.832683085994426264e+01
1.000000000000000000e+01 1.600000000000000000e+01 2.864679643800917930e+01
1.000000000000000000e+01 1.700000000000000000e+01 2.891652396080366216e+01
1.000000000000000000e+01 1.800000000000000000e+01 2.914755974107757552e+01
1.000000000000000000e+01 1.900000000000000000e+01 2.934969553490712002e+01
1.000000000000000000e+01 2.000000000000000000e+01 2.952633624312127480e+01
1.000000000000000000e+01 2.100000000000000000e+01 2.968110423698042410e+01
1.000000000000000000e+01 2.200000000000000000e+01 2.982390488800444928e+01
1.000000000000000000e+01 2.300000000000000000e+01 2.995043665474240413e+01
1.000000000000000000e+01 2.400000000000000000e+01 3.006419034294774661e+01
1.000000000000000000e+01 2.500000000000000000e+01 3.016683001947782117e+01
1.000000000000000000e+01 2.600000000000000000e+01 3.026078906732142570e+01
1.000000000000000000e+01 2.700000000000000000e+01 3.034982499468618400e+01
1.000000000000000000e+01 2.800000000000000000e+01 3.042968501575419538e+01
1.000000000000000000e+01 2.900000000000000000e+01 3.050140949874595719e+01
1.100000000000000000e+01 0.000000000000000000e+00 -6.445783045740444095e+01
1.100000000000000000e+01 1.000000000000000000e+00 -6.353220438849245255e+01
1.100000000000000000e+01 2.000000000000000000e+00 -6.261923691137047143e+01
1.100000000000000000e+01 3.000000000000000000e+00 -6.170002763144555757e+01
1.100000000000000000e+01 4.000000000000000000e+00 -6.074638466033509587e+01
1.100000000000000000e+01 5.000000000000000000e+00 -5.970901960738807901e+01
1.100000000000000000e+01 6.000000000000000000e+00 -5.847762813770925305e+01
1.100000000000000000e+01 7.000000000000000000e+00 -5.665561816618923530e+01
1.100000000000000000e+01 8.000000000000000000e+00 1.983727110489292045e+01
1.100000000000000000e+01 9.000000000000000000e+00 2.391914877782028981e+01
1.100000000000000000e+01 1.000000000000000000e+01 2.555409897087203319e+01
1.100000000000000000e+01 1.100000000000000000e+01 2.655610736370154967e+01
1.100000000000000000e+01 1.200000000000000000e+01 2.726507225031893000e+01
1.100000000000000000e+01 1.300000000000000000e+01 2.780081684012802157e+01
1.100000000000000000e+01 1.400000000000000000e+01 2.822628650139054329e+01
1.100000000000000000e+01 1.500000000000000000e+01 2.857580738982677104e+01
1.100000000000000000e+01 1.600000000000000000e+01 2.886767485738826977e+01
1.100000000000000000e+01 1.700000000000000000e+01 2.911784096222240237e+01
1.100000000000000000e+01 1.800000000000000000e+01 2.933298730091065920e+01
1.100000000000000000e+01 1.900000000000000000e+01 2.951881610365845532e+01
1.100000000000000000e+01 2.000000000000000000e+01 2.968512941372483738e+01
1.100000000000000000e+01 2.100000000000000000e+01 2.983396790306825608e+01
1.100000000000000000e+01 2.200000000000000000e+01 2.996729226866562712e+01
1.100000000000000000e+01 2.300000000000000000e+01 3.008486922404165753e+01
1.100000000000000000e+01 2.400000000000000000e+01 3.019464153518079996e+01
1.100000000000000000e+01 2.500000000000000000e+01 3.029220041066003333e+01
1.100000000000000000e+01 2.600000000000000000e+01 3.038354268477856834e+01
1.100000000000000000e+01 2.700000000000000000e+01 3.046615409586453183e+01
1.100000000000000000e+01 2.800000000000000000e+01 3.054211480026311420e+01
1.100000000000000000e+01 2.900000000000000000e+01 3.061221441033013591e+01
1.200000000000000000e+01 0.000000000000000000e+00 -6.415971151068241340e+01
1.200000000000000000e+01 1.000000000000000000e+00 -6.322633916755461314e+01
1.200000000000000000e+01 2.000000000000000000e+00 -6.229886257629548396e+01
1.200000000000000000e+01 3.000000000000000000e+00 -6.135509352786789350e+01
1.200000000000000000e+01 4.000000000000000000e+00 -6.035973494434865927e+01
1.200000000000000000e+01 5.000000000000000000e+00 -5.924527054306580709e+01
1.200000000000000000e+01 6.000000000000000000e+00 -5.783687468604401971e+01
1.200000000000000000e+01 7.000000000000000000e+00 -5.490887401605605334e+01
1.200000000000000000e+01 8.000000000000000000e+00 2.242096131202090703e+01
1.200000000000000000e+01 9.000000000000000000e+00 2.486002813183281290e+01
1.200000000000000000e+01 1.000000000000000000e+01 2.613736823388441266e+01
1.200000000000000000e+01 1.100000000000000000e+01 2.698405180538736658e+01
1.200000000000000000e+01 1.200000000000000000e+01 2.760322948697255541e+01
1.200000000000000000e+01 1.300000000000000000e+01 2.808340378833478468e+01
1.200000000000000000e+01 1.400000000000000000e+01 2.846947743506999018e+01
1.200000000000000000e+01 1.500000000000000000e+01 2.879230775967877065e+01
1.200000000000000000e+01 1.600000000000000000e+01 2.906215491244504534e+01
1.200000000000000000e+01 1.700000000000000000e+01 2.929291154009989739e+01
1.200000000000000000e+01 1.800000000000000000e+01 2.949558472568676848e+01
